PING 172.16.2.5 (172.16.2.5) 56(84) bytes of data.
64 bytes from 172.16.2.5: icmp_seq=1 ttl=63 time=30.6 ms
64 bytes from 172.16.2.5: icmp_seq=2 ttl=63 time=0.250 ms
64 bytes from 172.16.2.5: icmp_seq=3 ttl=63 time=16.9 ms
64 bytes from 172.16.2.5: icmp_seq=4 ttl=63 time=15.6 ms
64 bytes from 172.16.2.5: icmp_seq=5 ttl=63 time=17.7 ms
64 bytes from 172.16.2.5: icmp_seq=6 ttl=63 time=0.268 ms
64 bytes from 172.16.2.5: icmp_seq=7 ttl=63 time=16.6 ms
64 bytes from 172.16.2.5: icmp_seq=8 ttl=63 time=14.7 ms
64 bytes from 172.16.2.5: icmp_seq=9 ttl=63 time=24.6 ms
64 bytes from 172.16.2.5: icmp_seq=10 ttl=63 time=26.7 ms
