#Date		All	Fix	All-minus-Fix
2008-04-20	0	0	0	3fb27f2c702b7e555779812deac256bd86df8999
2008-04-23	11	4	7	f132afbb2ffbea60ede68ffe3959528acd085440
2008-04-25	19	8	11	3f85e2899732762d9670ca70a8f9012e9fdf7d86
2008-04-27	26	10	16	26f38aae3eeaa40d2dcb2a0733176bb7a860ab02
2008-04-30	36	12	24	61fdf7ee9ebad4ba036b1eedcff4203a5355dec3
2008-05-03	47	14	33	ed73f17a85181032c1d654a59a4b7d74eeaf0daa
2008-05-06	56	16	40	ffc56056308a9cae59c697fd84474dd7a6faf408
2008-05-08	65	21	44	e97277c2b65ec716ec3e4eb46417f8ba1146e142
2008-05-09	65	21	44	5dcc10bb662b9a31bf05d84d23d184a6e714b212
2008-05-14	76	26	50	381cded75cdb8064ee2753a15db2fb8f29069058
2008-05-20	89	30	59	a89bbbea1c27138be793cf7f895ca84e45056f49
2008-05-22	97	30	67	9f923dac201d0a14a61bf191a0e490179c03f956
2008-05-25	100	31	69	a6ab1def5cf86baac0162130bab6393323141ec5
2008-05-30	104	33	71	9ddf57e9c7280a09d2200444edfb3d92ffdd0743
2008-06-04	115	38	77	813d77843d0f7557ce74adf6ed159cfe1f815428
2008-06-11	123	38	85	03a247469417b17778ae84afb1949d14e37ff799
2008-06-13	130	38	92	5725711034b62173869ce5a9d6bd11a34da8ecdd
2008-06-18	143	41	102	7f44ebe7ef0ca55fc7f5d97af631af215bb960ec
2008-06-21	149	43	106	e74a71bc1aa3aa137c6213c46534b77ff1201260
2008-07-01	158	47	111	87dc44e9b14fea20cc3b2f938232e1b75a1d496b
2008-07-07	163	48	115	ff7c121994e5c3c7938d2c9706ba10a750fd619e
2008-07-10	172	48	124	9f603109d786649b09937a78bc30309393c9810a
2008-07-20	180	48	132	50a799efc9efb3539076e00714213747e4da60ee
2008-07-20	180	48	132	705ad00eb946a4ee3fae7e8b23ae5715eb53d547
2008-07-21	180	48	132	0c820734c819d7b2616242905a22ece127cf80bd
2008-07-22	187	50	137	6ed75b7832b4b50ccccf98bfaf4eb5eee98da8df
2008-07-24	187	50	137	c7c741452227a957686f18848dd33e11aeb4a958
2008-07-25	187	50	137	f63f26ffeff6a98bad8ad6c25cc387411b47b02c
2008-07-26	187	50	137	a9390294ed5ebbed48d8f9f43303d02a19d0e933
2008-07-27	187	50	137	389b66b786edeb244430019d502794716dd3de56
2008-07-30	190	50	140	df21f893b210cad1ff40c7947154008be0fab49d
2008-08-01	196	52	144	5d07de599bc30952b8e2a06610460470e3a8e7e2
2008-08-05	204	53	151	2f887157cfe724da1e2cd3d2fe968a4f28dfc2b1
2008-08-08	204	53	151	44c4f9ce33d63e927b260c3a7a9cd6ad8c985552
2008-08-13	216	57	159	7b43e4c6d33f04ed250b60cc0ce3a6f310e0ccce
2008-08-19	224	61	163	174de48a0ab5027568a775590bd742267997cb5b
2008-08-23	229	63	166	d71ae126dfd7c804da82da41083882bfa483a8d4
2008-08-25	232	63	169	8f59faed921873fe3bf47cd15abba53fff74daeb
2008-08-27	263	72	191	5e22f48c5147af85cc15a1cefef7edff8e623208
2008-09-02	270	72	198	0ba081ccb63801cfff1806f52096b1be1701df75
2008-09-03	278	72	206	e10abd55dfca995734c3ab6905787db4b3551ffa
2008-09-08	285	72	213	4b88c0dea61e9f2d80f333bb10ff80051e511488
2008-09-12	289	74	215	da7c0f192f23b0e5e06c07508822ce810f86966d
2008-09-18	295	74	221	16a9bd52178c4434fe2a1794b47aca785dbe917e
2008-09-22	295	74	221	946e0e74527aad6e4f77b6301b8c620251d7f73d
2008-09-24	298	75	223	9f0b1110c1c1607ec4987a3fbbddf129ee230b54
2008-10-01	303	77	226	ae013d0176252772d2f4d2efef80ea0776f211dd
2008-10-07	310	77	233	e78ad2a8f2f0fc7ef2dfc2d81cad0c4783ea41cc
2008-10-10	320	77	243	2401694849bb48ac5ee75946352638f7512f1988
2008-10-11	324	78	246	4452b98fe0897935ae60a811979aa948ea57664e
2008-10-13	331	81	250	6da8604ed7608f608355521f94f1c26815670140
2008-10-14	337	84	253	d5882908ec45dfa5e2ee4c7c6d3ab176c34ca2ad
2008-10-15	342	86	256	cded2f78bba3e59bdd612e89fd2253f76f1ae047
2008-10-17	342	86	256	facebb356e57dcd894fc78a9a4dbd385812a0300
2008-10-20	346	87	259	87e1ca57b0e11de5b324ee379fcafc30886c3cda
2008-10-23	351	89	262	5c05d801dbb4d05c5437937dab63b0036ec0c1f7
2008-10-27	354	89	265	4d88d817507309430f610fc112db43ee03882d50
2008-10-29	358	91	267	fe4f83eff6abc0654365d9b27cadf245413b13e1
2008-11-02	363	93	270	0e34a5c9146593cdfc8266f2191b1592c27bbd02
2008-11-04	363	93	270	170b67215bdb413815a2cdf19b107e30575c0738
2008-11-06	370	94	276	6b49804123a318f3e324ac2dd60397db8301df56
2008-11-11	380	95	285	84dd6f1b07d0b1a788e1940d546680a892e9b259
2008-11-12	388	96	292	e2b782e98fb69146aabad4aad3ad845337a8652b
2008-11-17	398	99	299	dbfb5489d33102521d1a7425240f5659e461acd8
2008-11-20	413	101	312	e7553916c57131199e99318024a2eebd053240e8
2008-12-02	422	104	318	6db936c43970f9acfe244fd8fa322db80cf1113c
2008-12-08	435	108	327	3acef53d7c3ffb46cd9578cb51e97365bc00860a
2008-12-15	445	115	330	ba60f85999d0dc47c0fe9f4bdaa11df06aa35014
2008-12-17	453	118	335	9753c376598fbe14eac7af076e814f500fa1e076
2008-12-21	455	119	336	1e8ed0815af53f21be6495667cb9bac422ac9cab
2008-12-28	455	119	336	a84ae6e139c1babe7275539054d5869d6b905198
2008-12-30	460	122	338	51fafea319df3da0847a124e0f4c2f61be7ee18c
2009-01-05	465	123	342	4e2df3321a45e6ee6b079d46b127788978b77d2c
2009-01-08	465	123	342	48c7f04d4467755c5b0ffad5e8935b49633d823b
2009-01-11	474	125	349	2183c397491ef26cd85fb1be2eec488c6ea47882
2009-01-15	474	125	349	357c88d19b9f0572400fb9d79aa44c0ed5a5a454
2009-01-16	474	125	349	2a63e859d248f04e3a8651798372a8d6291be4ea
2009-01-26	474	125	349	b37af4407ae8a1558511599201ae113cfecb36c0
2009-01-30	482	128	354	44b57f76179bab934cbd7a0a90a75bc9c8107b6c
2009-01-31	486	130	356	230be17c03f2a5fd01bbe32e639e7c96b2500273
2009-02-04	496	135	361	276a2f55ef88541268b294f440bbb1f86de4eb85
2009-02-05	502	136	366	7bd5d43cec7adc7ae07cd05b93996eb9fc0b75c0
2009-02-09	513	142	371	5340e5cabb036dfbb2d5a9dc316e954f8bd41e26
2009-02-12	513	142	371	aeb02b469b267ac3701d599c05c0e11152bd020c
2009-03-02	520	146	374	59b5d0f38e4a16c28b1da634db686dc423551cff
2009-03-09	532	148	384	0fb4a38a6f47bcdf11fbc60863830a2dad6e42b0
2009-03-15	540	151	389	7d582a0f89260cf00ae5c2f7f56049016731c1c6
2009-03-23	549	157	392	b1a5067768df1f969ac16e25b87cdfecd3415ffd
2009-03-26	549	157	392	243bda4ad63e5facc61f4d1a4ef9460653169bf4
2009-03-27	560	161	399	494cc7f5858ba71b01d39241884d30e3f802f5ff
2009-03-29	566	163	403	335dbb80376bb872a775fbf7ec65304f6ca8e51b
2009-04-02	573	165	408	5aa5651662a928e7b6b4d245f2255cc3527ca803
2009-04-04	579	169	410	fd6f9695483ed3779565c7d345c7247dace6fb49
2009-04-06	589	173	416	118dae53bd6d3add2ee72b8a57fb5a3c2ab60342
2009-04-08	589	173	416	e60f779555ab417763bb644b560e0690071f08ec
2009-04-16	598	177	421	d625dccf281628dbdd84e86f0af9db9258890ea5
2009-04-22	609	182	427	9b87eb2facb9a93d718d79c8aa22c9334026d12a
2009-04-29	617	184	433	651caa461ccb335bcced91c2019233c5bb07a792
2009-05-05	617	184	433	323f23c37cdd2d43c26aca0ed55081717a3ae69d
2009-05-09	617	184	433	518f6c60447d40ae0fc5adaaf523d2e6b5d81300
2009-05-19	629	186	443	c1aa451710664effd81c179dcdcf583cd98615c1
2009-05-26	641	190	451	222faf9536443f6ac04ff531c70e56162b88f0a1
2009-06-01	647	191	456	85b6c101b29bde19b09f08274b7122afbeea0d14
2009-06-02	647	191	456	df33ae74fb0106eae11953d87291943ec140f9c8
2009-06-09	647	191	456	9595747ed7233ae7d0b4bca2c4a62d7093997070
2009-06-15	647	191	456	f9ef75cd03e14b3638f53986b2036765310d44ce
