PING 172.16.2.5 (172.16.2.5) 56(84) bytes of data.
64 bytes from 172.16.2.5: icmp_seq=1 ttl=64 time=0.391 ms
64 bytes from 172.16.2.5: icmp_seq=2 ttl=64 time=0.154 ms
64 bytes from 172.16.2.5: icmp_seq=3 ttl=64 time=0.172 ms
64 bytes from 172.16.2.5: icmp_seq=4 ttl=64 time=0.149 ms
64 bytes from 172.16.2.5: icmp_seq=5 ttl=64 time=0.232 ms
64 bytes from 172.16.2.5: icmp_seq=6 ttl=64 time=0.177 ms
64 bytes from 172.16.2.5: icmp_seq=7 ttl=64 time=0.207 ms
64 bytes from 172.16.2.5: icmp_seq=8 ttl=64 time=0.228 ms
64 bytes from 172.16.2.5: icmp_seq=9 ttl=64 time=0.205 ms
64 bytes from 172.16.2.5: icmp_seq=10 ttl=64 time=0.210 ms
64 bytes from 172.16.2.5: icmp_seq=11 ttl=64 time=0.216 ms
64 bytes from 172.16.2.5: icmp_seq=12 ttl=64 time=0.229 ms
