PING 172.16.2.5 (172.16.2.5) 56(84) bytes of data.
64 bytes from 172.16.2.5: icmp_seq=1 ttl=63 time=0.510 ms
64 bytes from 172.16.2.5: icmp_seq=2 ttl=63 time=0.442 ms
64 bytes from 172.16.2.5: icmp_seq=3 ttl=63 time=0.430 ms
64 bytes from 172.16.2.5: icmp_seq=4 ttl=63 time=0.449 ms
64 bytes from 172.16.2.5: icmp_seq=5 ttl=63 time=0.440 ms
64 bytes from 172.16.2.5: icmp_seq=6 ttl=63 time=0.437 ms
64 bytes from 172.16.2.5: icmp_seq=7 ttl=63 time=0.454 ms
64 bytes from 172.16.2.5: icmp_seq=8 ttl=63 time=0.429 ms
64 bytes from 172.16.2.5: icmp_seq=9 ttl=63 time=0.485 ms
64 bytes from 172.16.2.5: icmp_seq=10 ttl=63 time=0.432 ms
64 bytes from 172.16.2.5: icmp_seq=11 ttl=63 time=0.464 ms
