PING 172.16.2.5 (172.16.2.5) 56(84) bytes of data.
64 bytes from 172.16.2.5: icmp_seq=1 ttl=63 time=0.633 ms
64 bytes from 172.16.2.5: icmp_seq=2 ttl=63 time=0.658 ms
64 bytes from 172.16.2.5: icmp_seq=3 ttl=63 time=0.562 ms
64 bytes from 172.16.2.5: icmp_seq=4 ttl=63 time=0.580 ms
64 bytes from 172.16.2.5: icmp_seq=5 ttl=63 time=0.641 ms
64 bytes from 172.16.2.5: icmp_seq=6 ttl=63 time=0.572 ms
64 bytes from 172.16.2.5: icmp_seq=7 ttl=63 time=0.655 ms
64 bytes from 172.16.2.5: icmp_seq=8 ttl=63 time=0.633 ms
64 bytes from 172.16.2.5: icmp_seq=9 ttl=63 time=0.695 ms
64 bytes from 172.16.2.5: icmp_seq=10 ttl=63 time=0.636 ms
