PING 172.16.2.5 (172.16.2.5) 56(84) bytes of data.
64 bytes from 172.16.2.5: icmp_seq=1 ttl=63 time=0.569 ms
64 bytes from 172.16.2.5: icmp_seq=2 ttl=63 time=0.694 ms
64 bytes from 172.16.2.5: icmp_seq=3 ttl=63 time=0.628 ms
64 bytes from 172.16.2.5: icmp_seq=4 ttl=63 time=0.651 ms
64 bytes from 172.16.2.5: icmp_seq=5 ttl=63 time=0.634 ms
64 bytes from 172.16.2.5: icmp_seq=6 ttl=63 time=0.565 ms
64 bytes from 172.16.2.5: icmp_seq=7 ttl=63 time=0.624 ms
64 bytes from 172.16.2.5: icmp_seq=8 ttl=63 time=0.632 ms
64 bytes from 172.16.2.5: icmp_seq=9 ttl=63 time=0.665 ms
64 bytes from 172.16.2.5: icmp_seq=10 ttl=63 time=0.625 ms
